Full name,Born in,Born-on,College,Links
Vern Bickford,"  Hellier, Kentucky",  08-17-1920  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bickfve01
Johnny Sain,"  Havana, Arkansas",  09-25-1917  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sainjo01
Warren Spahn,"  Buffalo, New York",  04-23-1921  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=spahnwa01
Bill Voiselle,"  Greenwood, South Carolina",  01-29-1919  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=voisebi01
Tommy Byrne,"  Baltimore, Maryland",  12-31-1919  (Capricorn),  Wake Forest College,https://www.baseball-almanac.com/players/player.php?p=byrneto01
Ed Lopat,"  New York, New York",  06-21-1918  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lopated01
Jack Banta,"  Hutchinson, Kansas",  06-24-1925  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bantaja01
Carl Erskine,"  Anderson, Indiana",  12-13-1926  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=erskica01
Paul Minner,"  New Wilmington, Pennsylvania",  07-30-1923  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=minnepa01
Don Newcombe,"  Madison, New Jersey",  06-14-1926  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=newcodo01
Erv Palica,"  Lomita, California",  02-09-1928  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=palicer01
Preacher Roe,"  Ash Flat, Arkansas",  02-26-1916  (Pisces),  Harding University,https://www.baseball-almanac.com/players/player.php?p=roepr01
Tom Ferrick,"  New York, New York",  01-06-1915  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=ferrito01
Whitey Ford,"  New York, New York",  10-21-1928  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=fordwh01
Ken Heintzelman,"  Peruque, Missouri",  10-14-1915  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=heintke01
Jim Konstanty,"  Strykersville, New York",  03-02-1917  (Pisces),  Syracuse University,https://www.baseball-almanac.com/players/player.php?p=konstji01
Russ Meyer,"  Peru, Illinois",  10-25-1923  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=meyerru01
Bob Miller,"  Detroit, Michigan",  06-16-1926  (Gemini),  University of Detroit Mercy,https://www.baseball-almanac.com/players/player.php?p=millebo02
Robin Roberts,"  Springfield, Illinois",  09-30-1926  (Libra),  Michigan State College,https://www.baseball-almanac.com/players/player.php?p=roberro01
Bobby Hogue,"  Miami, Florida",  04-05-1921  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hoguebo01
Bob Kuzava,"  Wyandotte, Michigan",  05-28-1923  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=kuzavbo01
Tom Morgan,"  El Monte, California",  05-20-1930  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=morgato01
Joe Ostrowski,"  West Wyoming, Pennsylvania",  11-15-1916  (Scorpio),  University of Scranton,https://www.baseball-almanac.com/players/player.php?p=ostrojo02
Al Corwin,"  Newburgh, New York",  12-03-1926  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=corwial01
Jim Hearn,"  Atlanta, Georgia",  04-11-1921  (Aries),  Georgia School of Technology,https://www.baseball-almanac.com/players/player.php?p=hearnji01
Larry Jansen,"  Verboort, Oregon",  07-16-1920  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=jansela01
Sheldon Jones,"  Tecumseh, Nebraska",  02-02-1922  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=jonessh01
Monte Kennedy,"  Amelia, Virginia",  05-11-1922  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=kennemo01
