Full name,Born in,Born-on,College,Links
Jim Perry,"  Williamston, North Carolina",  10-30-1935  (Scorpio),  Campbell Junior College,https://www.baseball-almanac.com/players/player.php?p=perryji01
Bill Pleis,"  St. Louis, Missouri",  08-05-1937  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pleisbi01
Al Worthington,"  Birmingham, Alabama",  02-05-1929  (Aquarius),  Howard & Alabama,https://www.baseball-almanac.com/players/player.php?p=worthal01
Wally Bunker,"  Seattle, Washington",  01-25-1945  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bunkewa01
Moe Drabowsky,"  Ozanna, Poland",  07-21-1935  (Cancer),  Trinity College,https://www.baseball-almanac.com/players/player.php?p=drabomo01
Dave McNally,"  Billings, Montana",  10-31-1942  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcnalda01
Jim Palmer,"  New York, New York",  10-15-1945  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=palmeji01
Joe Moeller,"  Blue Island, Illinois",  02-15-1943  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=moelljo01
Phil Regan,"  Otsego, Michigan",  04-06-1937  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=reganph01
Nelson Briles,"  Dorris, California",  08-05-1943  (Leo),  University of Santa Clara,https://www.baseball-almanac.com/players/player.php?p=brilene01
Steve Carlton,"  Miami, Florida",  12-22-1944  (Capricorn),  Miami Dade Community College,https://www.baseball-almanac.com/players/player.php?p=carltst01
Joe Hoerner,"  Dubuque, Iowa",  11-12-1936  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hoernjo01
Dick Hughes,"  Stephens, Arkansas",  02-13-1938  (Aquarius),  University of Arkansas,https://www.baseball-almanac.com/players/player.php?p=hughedi01
Larry Jaster,"  Midland, Michigan",  01-13-1944  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=jastela01
Jack Lamabe,"  Farmingdale, New York",  10-03-1936  (Libra),  Springfield College & University of Vermont,https://www.baseball-almanac.com/players/player.php?p=lamabja01
Ray Washburn,"  Pasco, Washington",  05-31-1938  (Gemini),  Whitworth College,https://www.baseball-almanac.com/players/player.php?p=washbra01
Ron Willis,"  Willisville, Tennessee",  07-12-1943  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=williro01
Hal Woodeshick,"  Wilkes-Barre, Pennsylvania",  08-24-1932  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=woodeha01
Gary Bell,"  San Antonio, Texas",  11-17-1936  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bellga01
Ken Brett,"  Brooklyn, New York",  09-18-1948  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=brettke01
Jim Lonborg,"  Santa Maria, California",  04-16-1942  (Aries),  Stanford University,https://www.baseball-almanac.com/players/player.php?p=lonboji01
Dave Morehead,"  San Diego, California",  09-05-1942  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=morehda01
Dan Osinski,"  Chicago, Illinois",  11-17-1933  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=osinsda01
Jose Santiago,"  Juana Diaz, Puerto Rico",  08-15-1940  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=santijo02
Lee Stange,"  Chicago, Illinois",  10-27-1936  (Scorpio),  Drake University (DNP),https://www.baseball-almanac.com/players/player.php?p=stangle01
Jerry Stephenson,"  Detroit, Michigan",  10-06-1943  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=stephje01
Gary Waslewski,"  Meriden, Connecticut",  07-21-1941  (Cancer),  University of Connecticut,https://www.baseball-almanac.com/players/player.php?p=waslega01
John Wyatt,"  Chicago, Illinois",  04-19-1935  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wyattjo02
Pat Dobson,"  Buffalo, New York",  02-12-1942  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=dobsopa01
John Hiller,"  Toronto, Ontario, Canada",  04-08-1943  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hillejo01
Fred Lasher,"  Poughkeepsie, New York",  08-19-1941  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lashefr01
Mickey Lolich,"  Portland, Oregon",  09-12-1940  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lolicmi01
Denny McLain,"  Chicago, Illinois",  03-29-1944  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mclaide01
Daryl Patterson,"  Coalinga, California",  11-21-1943  (Scorpio),  College of the Sequoias,https://www.baseball-almanac.com/players/player.php?p=patteda02
Joe Sparma,"  Massillon, Ohio",  02-04-1942  (Aquarius),  Ohio State University,https://www.baseball-almanac.com/players/player.php?p=sparmjo01
Earl Wilson,"  Ponchatoula, Louisiana",  10-02-1934  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wilsoea01
Wayne Granger,"  Springfield, Massachusetts",  03-15-1944  (Pisces),  Springfield College,https://www.baseball-almanac.com/players/player.php?p=grangwa01
Mel Nelson,"  San Diego, California",  05-30-1936  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=nelsome01
Don Cardwell,"  Winston-Salem, North Carolina",  12-07-1935  (Sagittarius),  Appalachian State University,https://www.baseball-almanac.com/players/player.php?p=cardwdo01
Gary Gentry,"  Phoenix, Arizona",  10-06-1946  (Libra),  Arizona State University,https://www.baseball-almanac.com/players/player.php?p=gentrga01
Jerry Koosman,"  Appleton, Minnesota",  12-23-1942  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=koosmje01
Nolan Ryan,"  Refugio, Texas",  01-31-1947  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=ryanno01
Tom Seaver,"  Fresno, California",  11-17-1944  (Scorpio),  Fresno City College & University of Southern California,https://www.baseball-almanac.com/players/player.php?p=seaveto01
Mike Cuellar,"  Santa Clara, Villa Clara, Cuba",  05-08-1937  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=cuellmi01
Dick Hall,"  St. Louis, Missouri",  09-27-1930  (Libra),  Swarthmore College,https://www.baseball-almanac.com/players/player.php?p=halldi01
Dave Leonhard,"  Arlington, Virginia",  01-22-1941  (Aquarius),  Johns Hopkins University,https://www.baseball-almanac.com/players/player.php?p=leonhda01
Pete Richert,"  Floral Park, New York",  10-29-1939  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=richepe01
Eddie Watt,"  Lamoni, Iowa",  04-04-1941  (Aries),  Iowa State Teachers College,https://www.baseball-almanac.com/players/player.php?p=watted01
Marcelino Lopez,"  Havana, Cuba",  09-23-1943  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lopezma01
Tom Phoebus,"  Baltimore, Maryland",  04-07-1942  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=phoebto01
Clay Carroll,"  Clanton, Alabama",  05-02-1941  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=carrocl02
Tony Cloninger,"  Lincoln County, North Carolina",  08-13-1940  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=clonito01
Don Gullett,"  Lynn, Kentucky",  01-06-1951  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=gulledo01
Jim McGlothlin,"  Los Angeles, California",  10-06-1943  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcgloji01
Gary Nolan,"  Herlong, California",  05-27-1948  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=nolanga01
Milt Wilcox,"  Honolulu, Hawaii",  04-20-1950  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wilcomi01
Steve Blass,"  Canaan, Connecticut",  04-18-1942  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=blassst01
Dock Ellis,"  Los Angeles, California",  03-11-1945  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=ellisdo01
Dave Giusti,"  Seneca Falls, New York",  11-27-1939  (Sagittarius),  Syracuse University,https://www.baseball-almanac.com/players/player.php?p=giustda01
Bob Johnson,"  Aurora, Illinois",  04-25-1943  (Taurus),  Bradley University (DNP),https://www.baseball-almanac.com/players/player.php?p=johnsbo03
Bruce Kison,"  Pasco, Washington",  02-18-1950  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=kisonbr01
Bob Moose,"  Export, Pennsylvania",  10-09-1947  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=moosebo01
Bob Veale,"  Birmingham, Alabama",  10-28-1935  (Scorpio),  Benedictine College,https://www.baseball-almanac.com/players/player.php?p=vealebo01
Luke Walker,"  DeKalb, Texas",  09-02-1943  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=walkelu01
Tom Dukes,"  Knoxville, Tennessee",  08-31-1942  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=dukesto01
Grant Jackson,"  Fostoria, Ohio",  09-28-1942  (Libra),  Bowling Green State University,https://www.baseball-almanac.com/players/player.php?p=jacksgr01
Vida Blue,"  Mansfield, Louisiana",  07-28-1949  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bluevi01
Rollie Fingers,"  Steubenville, Ohio",  08-25-1946  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=fingero01
Dave Hamilton,"  Seattle, Washington",  12-13-1947  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hamilda01
Ken Holtzman,"  St. Louis, Missouri",  11-03-1945  (Scorpio),  University of Illinois at Chicago (DNP) & University of Illinois,https://www.baseball-almanac.com/players/player.php?p=holtzke01
Joe Horlen,"  San Antonio, Texas",  08-14-1937  (Leo),  Oklahoma State University,https://www.baseball-almanac.com/players/player.php?p=horlejo01
Catfish Hunter,"  Hertford, North Carolina",  04-08-1946  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hunteca01
Bob Locker,"  George, Iowa",  03-15-1938  (Pisces),  Iowa State University,https://www.baseball-almanac.com/players/player.php?p=lockebo02
Blue Moon Odom,"  Macon, Georgia",  05-29-1945  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=odombl01
Jack Billingham,"  Orlando, Florida",  02-21-1943  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=billija01
Pedro Borbon,"  Mao, Valverde, Dominican Republic",  12-02-1946  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=borbope01
Ross Grimsley,"  Topeka, Kansas",  01-07-1950  (Capricorn),  Jackson State Community College,https://www.baseball-almanac.com/players/player.php?p=grimsro02
Tom Hall,"  Thomasville, North Carolina",  11-23-1947  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hallto01
Darold Knowles,"  Brunswick, Missouri",  12-09-1941  (Sagittarius),  University of Missouri,https://www.baseball-almanac.com/players/player.php?p=knowlda01
Paul Lindblad,"  Chanute, Kansas",  08-09-1941  (Leo),  Chanute Junior College (DNP),https://www.baseball-almanac.com/players/player.php?p=lindbpa01
Horacio Pina,"  Matamoros, Coahuila, Mexico",  03-12-1945  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pinaho01
Jon Matlack,"  West Chester, Pennsylvania",  01-19-1950  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=matlajo01
Tug McGraw,"  Martinez, California",  08-30-1944  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcgratu01
Harry Parker,"  Highland, Illinois",  09-14-1947  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=parkeha01
George Stone,"  Ruston, Louisiana",  07-09-1946  (Cancer),  Louisiana Tech University,https://www.baseball-almanac.com/players/player.php?p=stonege02
Charlie Hough,"  Honolulu, Hawaii",  01-05-1948  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=houghch01
Mike Marshall,"  Adrian, Michigan",  01-15-1943  (Capricorn),  Michigan State University (DNP),https://www.baseball-almanac.com/players/player.php?p=marshmi01
Andy Messersmith,"  Toms River, New Jersey",  08-06-1945  (Leo),"  University of California, Berkeley",https://www.baseball-almanac.com/players/player.php?p=messean01
Don Sutton,"  Clio, Alabama",  04-02-1945  (Aries),  Whittier College,https://www.baseball-almanac.com/players/player.php?p=suttodo01
Pat Darcy,"  Troy, Ohio",  05-12-1950  (Taurus),  Mesa Community College,https://www.baseball-almanac.com/players/player.php?p=darcypa01
Rawly Eastwick,"  Camden, New Jersey",  10-24-1950  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=eastwra01
Will McEnaney,"  Springfield, Ohio",  02-14-1952  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcenawi01
Fred Norman,"  San Antonio, Texas",  08-20-1942  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=normafr01
Jim Burton,"  Royal Oak, Michigan",  10-27-1949  (Scorpio),  University of Michigan,https://www.baseball-almanac.com/players/player.php?p=burtoji01
Reggie Cleveland,"  Swift Current, Saskatchewan, Canada",  05-23-1948  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=clevere01
Dick Drago,"  Toledo, Ohio",  06-25-1945  (Cancer),  University of Detroit Mercy,https://www.baseball-almanac.com/players/player.php?p=dragodi01
Bill Lee,"  Burbank, California",  12-28-1946  (Capricorn),  University of Southern California,https://www.baseball-almanac.com/players/player.php?p=leebi03
Roger Moret,"  Guayama, Puerto Rico",  09-16-1949  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=moretro01
Dick Pole,"  Trout Creek, Michigan",  10-13-1950  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=poledi01
Diego Segui,"  Holguin, Cuba",  08-17-1937  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=seguidi01
Luis Tiant,"  Marianao, Cuba",  11-23-1940  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=tiantlu01
Jim Willoughby,"  Salinas, California",  01-31-1949  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=willoji01
Rick Wise,"  Jackson, Michigan",  09-13-1945  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wiseri01
Pat Zachry,"  Richmond, Texas",  04-24-1952  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=zachrpa01
Doyle Alexander,"  Cordova, Alabama",  09-04-1950  (Virgo),  Jefferson Junior College,https://www.baseball-almanac.com/players/player.php?p=alexado01
Ed Figueroa,"  Ciales, Puerto Rico",  10-14-1948  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=figueed01
Sparky Lyle,"  DuBois, Pennsylvania",  07-22-1944  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lylesp01
Dick Tidrow,"  San Francisco, California",  05-14-1947  (Taurus),  Chabot College,https://www.baseball-almanac.com/players/player.php?p=tidrodi01
Ken Clay,"  Lynchburg, Virginia",  04-06-1954  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=clayke01
Ron Guidry,"  Lafayette, Louisiana",  08-28-1950  (Virgo),  University of Southwestern Louisiana,https://www.baseball-almanac.com/players/player.php?p=guidrro01
Mike Torrez,"  Topeka, Kansas",  08-28-1946  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=torremi01
Mike Garman,"  Caldwell, Idaho",  09-16-1949  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=garmami01
Burt Hooton,"  Greenville, Texas",  02-07-1950  (Aquarius),  University of Texas at Austin,https://www.baseball-almanac.com/players/player.php?p=hootobu01
Tommy John,"  Terre Haute, Indiana",  05-22-1943  (Gemini),  Indiana State University (DNP),https://www.baseball-almanac.com/players/player.php?p=johnto01
Doug Rau,"  Columbus, Texas",  12-15-1948  (Sagittarius),  Texas A&M University,https://www.baseball-almanac.com/players/player.php?p=raudo01
Lance Rautzhan,"  Pottsville, Pennsylvania",  08-20-1952  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=rautzla01
Rick Rhoden,"  Boynton Beach, Florida",  05-16-1953  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=rhoderi01
Elias Sosa,"  La Vega, La Vega, Dominican Republic",  06-10-1950  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sosael01
Jim Beattie,"  Hampton, Virginia",  07-04-1954  (Cancer),  Dartmouth College,https://www.baseball-almanac.com/players/player.php?p=beattji01
Rich Gossage,"  Colorado Springs, Colorado",  07-05-1951  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=gossari01
Terry Forster,"  Sioux Falls, South Dakota",  01-14-1952  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=forstte01
Bob Welch,"  Detroit, Michigan",  11-03-1956  (Scorpio),  Eastern Michigan University,https://www.baseball-almanac.com/players/player.php?p=welchbo01
Jim Bibby,"  Franklinton, North Carolina",  10-29-1944  (Scorpio),  Fayetteville State University,https://www.baseball-almanac.com/players/player.php?p=bibbyji01
Bert Blyleven,"  Zeist, Netherlands",  04-06-1951  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=blylebe01
John Candelaria,"  New York, New York",  11-06-1953  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=candejo01
Don Robinson,"  Ashland, Kentucky",  06-08-1957  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=robindo01
Enrique Romo,"  Santa Rosalia, Baja California Sur, Mexico",  07-15-1947  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=romoen01
Jim Rooker,"  Lakeview, Oregon",  09-23-1942  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=rookeji01
Kent Tekulve,"  Cincinnati, Ohio",  03-05-1947  (Pisces),  Marietta College,https://www.baseball-almanac.com/players/player.php?p=tekulke01
Mike Flanagan,"  Manchester, New Hampshire",  12-16-1951  (Sagittarius),  University of Massachusetts Amherst,https://www.baseball-almanac.com/players/player.php?p=flanami01
Tippy Martinez,"  La Junta, Colorado",  05-31-1950  (Gemini),  Colorado State University,https://www.baseball-almanac.com/players/player.php?p=martiti01
Dennis Martinez,"  Granada, Nicaragua",  05-14-1954  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=martide01
Scott McGregor,"  Inglewood, California",  01-18-1954  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcgresc01
Don Stanhouse,"  DuQuoin, Illinois",  02-12-1951  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=stanhdo01
Sammy Stewart,"  Asheville, North Carolina",  10-28-1954  (Scorpio),  Montreat-Anderson Junior College,https://www.baseball-almanac.com/players/player.php?p=stewasa01
Tim Stoddard,"  East Chicago, Indiana",  01-24-1953  (Aquarius),  North Carolina State University,https://www.baseball-almanac.com/players/player.php?p=stoddti01
Steve Stone,"  Euclid, Ohio",  07-14-1947  (Cancer),  Kent State University,https://www.baseball-almanac.com/players/player.php?p=stonest01
Warren Brusstar,"  Oakland, California",  02-02-1952  (Aquarius),"  California State University, Fresno",https://www.baseball-almanac.com/players/player.php?p=brusswa01
Marty Bystrom,"  Coral Gables, Florida",  07-26-1958  (Leo),  Miami Dade Community College,https://www.baseball-almanac.com/players/player.php?p=bystrma01
Larry Christenson,"  Everett, Washington",  11-10-1953  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=chrisla01
Dickie Noles,"  Charlotte, North Carolina",  11-19-1956  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=nolesdi01
Ron Reed,"  La Porte, Indiana",  11-02-1942  (Scorpio),  University of Notre Dame,https://www.baseball-almanac.com/players/player.php?p=reedro01
Dick Ruthven,"  Sacramento, California",  03-27-1951  (Aries),  Fresno State College,https://www.baseball-almanac.com/players/player.php?p=ruthvdi01
Kevin Saucier,"  Pensacola, Florida",  08-09-1956  (Leo),  Pensacola Junior College,https://www.baseball-almanac.com/players/player.php?p=saucike01
Bob Walk,"  Van Nuys, California",  11-26-1956  (Sagittarius),  College of the Canyons,https://www.baseball-almanac.com/players/player.php?p=walkbo01
Rich Gale,"  Littleton, New Hampshire",  01-19-1954  (Capricorn),  University of New Hampshire,https://www.baseball-almanac.com/players/player.php?p=galeri01
Larry Gura,"  Joliet, Illinois",  11-26-1947  (Sagittarius),  Arizona State University,https://www.baseball-almanac.com/players/player.php?p=gurala01
Dennis Leonard,"  Brooklyn, New York",  05-08-1951  (Taurus),  Iona University,https://www.baseball-almanac.com/players/player.php?p=leonade01
Renie Martin,"  Dover, Delaware",  08-30-1955  (Virgo),  University of Richmond,https://www.baseball-almanac.com/players/player.php?p=martire01
Marty Pattin,"  Charleston, Illinois",  04-06-1943  (Aries),  Eastern Illinois University,https://www.baseball-almanac.com/players/player.php?p=pattima01
Dan Quisenberry,"  Santa Monica, California",  02-07-1953  (Aquarius),  Orange Coast College & La Verne College,https://www.baseball-almanac.com/players/player.php?p=quiseda01
Paul Splittorff,"  Evansville, Indiana",  10-08-1946  (Libra),  Morningside College,https://www.baseball-almanac.com/players/player.php?p=splitpa01
Bobby Castillo,"  Los Angeles, California",  04-18-1955  (Aries),  Los Angeles Valley Junior College,https://www.baseball-almanac.com/players/player.php?p=castibo01
Dave Goltz,"  Pelican Rapids, Minnesota",  06-23-1949  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=goltzda01
Steve Howe,"  Pontiac, Michigan",  03-10-1958  (Pisces),  University of Michigan,https://www.baseball-almanac.com/players/player.php?p=howest01
Tom Niedenfuer,"  St. Louis Park, Minnesota",  08-13-1959  (Leo),  Washington State University,https://www.baseball-almanac.com/players/player.php?p=niedeto01
Jerry Reuss,"  St. Louis, Missouri",  06-19-1949  (Gemini),  Southern Illinois (DNP) & UCSB (DNP),https://www.baseball-almanac.com/players/player.php?p=reussje01
Dave Stewart,"  Oakland, California",  02-19-1957  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=stewada01
Fernando Valenzuela,"  Navojoa, Sonora, Mexico",  11-01-1960  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=valenfe01
Ron Davis,"  Houston, Texas",  08-06-1955  (Leo),  Blinn College,https://www.baseball-almanac.com/players/player.php?p=davisro02
George Frazier,"  Oklahoma City, Oklahoma",  10-13-1954  (Libra),  University of Oklahoma,https://www.baseball-almanac.com/players/player.php?p=frazige01
Dave LaRoche,"  Colorado Springs, Colorado",  05-14-1948  (Taurus),  Nevada Southern University,https://www.baseball-almanac.com/players/player.php?p=larocda01
Rudy May,"  Coffeyville, Kansas",  07-18-1944  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mayru01
Rick Reuschel,"  Quincy, Illinois",  05-16-1949  (Taurus),  Western Illinois University,https://www.baseball-almanac.com/players/player.php?p=reuscri01
Dave Righetti,"  San Jose, California",  11-28-1958  (Sagittarius),  San Jose Community College,https://www.baseball-almanac.com/players/player.php?p=righeda01
Joaquin Andujar,"  San Pedro de Macorís, San Pedro de Macorís, Dominican Republic",  12-21-1952  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=andujjo01
Doug Bair,"  Defiance, Ohio",  08-22-1949  (Leo),  Bowling Green State University,https://www.baseball-almanac.com/players/player.php?p=bairdo01
Bob Forsch,"  Sacramento, California",  01-13-1950  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=forscbo01
Jeff Lahti,"  Oregon City, Oregon",  10-08-1956  (Libra),  Portland State University,https://www.baseball-almanac.com/players/player.php?p=lahtije01
Dave LaPoint,"  Glens Falls, New York",  07-29-1959  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lapoida01
John Stuper,"  Butler, Pennsylvania",  05-09-1957  (Taurus),  La Roche College,https://www.baseball-almanac.com/players/player.php?p=stupejo01
Bruce Sutter,"  Lancaster, Pennsylvania",  01-08-1953  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=suttebr01
Dwight Bernard,"  Mount Vernon, Illinois",  05-31-1952  (Gemini),  Belmont College,https://www.baseball-almanac.com/players/player.php?p=bernadw01
Mike Caldwell,"  Tarboro, North Carolina",  01-22-1949  (Aquarius),  North Carolina State University,https://www.baseball-almanac.com/players/player.php?p=caldwmi01
Moose Haas,"  Baltimore, Maryland",  04-22-1956  (Taurus),  Catonsville Community College,https://www.baseball-almanac.com/players/player.php?p=haasmo01
Pete Ladd,"  Portland, Maine",  07-17-1956  (Cancer),  University of Mississippi,https://www.baseball-almanac.com/players/player.php?p=laddpe01
Bob McClure,"  Oakland, California",  04-29-1952  (Taurus),  College of San Mateo,https://www.baseball-almanac.com/players/player.php?p=mcclubo01
Doc Medich,"  Aliquippa, Pennsylvania",  12-09-1948  (Sagittarius),  University of Pittsburgh,https://www.baseball-almanac.com/players/player.php?p=medicdo01
Jim Slaton,"  Long Beach, California",  06-19-1950  (Gemini),  Antelope Valley College,https://www.baseball-almanac.com/players/player.php?p=slatoji01
Pete Vuckovich,"  Johnstown, Pennsylvania",  10-27-1952  (Scorpio),  Clarion State University,https://www.baseball-almanac.com/players/player.php?p=vuckope01
Mike Boddicker,"  Cedar Rapids, Iowa",  08-23-1957  (Virgo),  University of Iowa,https://www.baseball-almanac.com/players/player.php?p=boddimi01
Storm Davis,"  Dallas, Texas",  12-26-1961  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=davisst02
Larry Andersen,"  Portland, Oregon",  05-06-1953  (Taurus),  Bellevue Community College,https://www.baseball-almanac.com/players/player.php?p=anderla02
John Denny,"  Prescott, Arizona",  11-08-1952  (Scorpio),  Southern Illinois University (DNP),https://www.baseball-almanac.com/players/player.php?p=dennyjo01
Willie Hernandez,"  Aguada, Puerto Rico",  11-14-1954  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hernawi01
Al Holland,"  Roanoke, Virginia",  08-16-1952  (Leo),  North Carolina A&T State University,https://www.baseball-almanac.com/players/player.php?p=hollaal01
Charles Hudson,"  Ennis, Texas",  03-16-1959  (Pisces),  Prairie View A&M University,https://www.baseball-almanac.com/players/player.php?p=hudsoch02
Aurelio Lopez,"  Tecamachalco, Puebla, Mexico",  09-21-1948  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lopezau01
Jack Morris,"  St. Paul, Minnesota",  05-16-1955  (Taurus),  Brigham Young University,https://www.baseball-almanac.com/players/player.php?p=morrija02
Dan Petry,"  Palo Alto, California",  11-13-1958  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=petryda01
Bill Scherrer,"  Tonawanda, New York",  01-20-1958  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=scherbi01
Greg Booker,"  Lynchburg, Virginia",  06-22-1960  (Cancer),  Elon College,https://www.baseball-almanac.com/players/player.php?p=bookegr01
Dave Dravecky,"  Youngstown, Ohio",  02-14-1956  (Aquarius),  Youngstown State University,https://www.baseball-almanac.com/players/player.php?p=draveda01
Greg Harris,"  Lynwood, California",  11-02-1955  (Scorpio),  Long Beach City College,https://www.baseball-almanac.com/players/player.php?p=harrigr01
Andy Hawkins,"  Waco, Texas",  01-21-1960  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hawkian01
Craig Lefferts,"  Munich, West Germany",  09-29-1957  (Libra),  University of Arizona,https://www.baseball-almanac.com/players/player.php?p=leffecr01
Tim Lollar,"  Poplar Bluff, Missouri",  03-17-1956  (Pisces),  University of Arkansas,https://www.baseball-almanac.com/players/player.php?p=lollati01
